Index,No Importa, yL,xL
1,2032.00 DATA,7.3,2032.00 
2,2032.00 DATA,159.7,2032.00 
3,2034.00 DATA,453.1,2034.00 
4,2032.00 DATA,797.4,2032.00 
5,2032.00 DATA,1134.1,2032.00 
6,2034.00 DATA,1429.6,2034.00 
7,2032.00 DATA,1668.8,2032.00 
8,2032.00 DATA,1848.8,2032.00 
9,2034.00 DATA,1974.5,2034.00 
10,2032.00 DATA,2054.6,2032.00 
11,2032.00 DATA,2099.3,2032.00 
12,2034.00 DATA,2118.3,2034.00 
13,2032.00 DATA,2120.1,2032.00 
14,2032.00 DATA,2111.6,2032.00 
15,2032.00 DATA,2097.8,2032.00 
16,2032.00 DATA,2082.5,2032.00 
17,2032.00 DATA,2068.1,2032.00 
18,2032.00 DATA,2055.6,2032.00 
19,2034.00 DATA,2045.8,2034.00 
20,2034.00 DATA,2038.6,2034.00 
21,2032.00 DATA,2033.7,2032.00 
22,2034.00 DATA,2030.6,2034.00 
23,2032.00 DATA,2029.0,2032.00 
24,2034.00 DATA,2028.3,2034.00 
25,2032.00 DATA,2028.5,2032.00 
26,2032.00 DATA,2028.9,2032.00 
27,2032.00 DATA,2029.6,2032.00 
28,2032.00 DATA,2030.2,2032.00 
29,2032.00 DATA,2030.8,2032.00 
30,2032.00 DATA,2031.2,2032.00 
31,2032.00 DATA,2031.6,2032.00 
32,2032.00 DATA,2031.8,2032.00 
33,2032.00 DATA,2032.0,2032.00 
34,2032.00 DATA,2032.2,2032.00 
35,2032.00 DATA,2032.2,2032.00 
36,2034.00 DATA,2032.2,2034.00 
37,2032.00 DATA,2032.2,2032.00 
38,2032.00 DATA,2032.2,2032.00 
39,2034.00 DATA,2032.2,2034.00 
40,2032.00 DATA,2032.2,2032.00 
41,2034.00 DATA,2032.2,2034.00 
42,2034.00 DATA,2032.2,2034.00 
43,2034.00 DATA,2032.2,2034.00 
44,2034.00 DATA,2032.2,2034.00 
45,2034.00 DATA,2032.3,2034.00 
46,2032.00 DATA,2032.4,2032.00 
47,2032.00 DATA,2032.5,2032.00 
48,2034.00 DATA,2032.5,2034.00 
49,2034.00 DATA,2032.5,2034.00 
50,2032.00 DATA,2032.6,2032.00 
51,2034.00 DATA,2032.6,2034.00 
52,2032.00 DATA,2032.5,2032.00 
53,2032.00 DATA,2032.5,2032.00 
54,2032.00 DATA,2032.4,2032.00 
55,2032.00 DATA,2032.3,2032.00 
56,2032.00 DATA,2032.2,2032.00 
57,2032.00 DATA,2032.0,2032.00 
58,2032.00 DATA,2032.0,2032.00 
59,2032.00 DATA,2031.9,2032.00 
60,2032.00 DATA,2031.9,2032.00 
61,2034.00 DATA,2032.0,2034.00 
62,2032.00 DATA,2032.1,2032.00 
63,2034.00 DATA,2032.3,2034.00 
64,2032.00 DATA,2032.4,2032.00 
65,2034.00 DATA,2032.4,2034.00 
66,2032.00 DATA,2032.5,2032.00 
67,2034.00 DATA,2032.6,2034.00 
68,2034.00 DATA,2032.6,2034.00 
69,2032.00 DATA,2032.7,2032.00 
70,2034.00 DATA,2032.8,2034.00 
71,2034.00 DATA,2032.8,2034.00 
72,2032.00 DATA,2032.8,2032.00 
73,2034.00 DATA,2032.7,2034.00 
74,2034.00 DATA,2032.7,2034.00 
75,2032.00 DATA,2032.6,2032.00 
76,2032.00 DATA,2032.6,2032.00 
77,2032.00 DATA,2032.6,2032.00 
78,2032.00 DATA,2032.6,2032.00 
79,2032.00 DATA,2032.5,2032.00 
80,2032.00 DATA,2032.5,2032.00 
81,2032.00 DATA,2032.4,2032.00 
82,2034.00 DATA,2032.3,2034.00 
83,2034.00 DATA,2032.4,2034.00 
84,2032.00 DATA,2032.4,2032.00 
85,2032.00 DATA,2032.5,2032.00 
86,2034.00 DATA,2032.5,2034.00 
87,2032.00 DATA,2032.6,2032.00 
88,2032.00 DATA,2032.7,2032.00 
89,2034.00 DATA,2032.8,2034.00 
90,2034.00 DATA,2032.8,2034.00 
91,2032.00 DATA,2032.8,2032.00 
92,2034.00 DATA,2032.8,2034.00 
93,2034.00 DATA,2032.8,2034.00 
94,2034.00 DATA,2032.9,2034.00 
95,2032.00 DATA,2033.0,2032.00 
96,2032.00 DATA,2033.1,2032.00 
97,2036.00 DATA,2033.1,2036.00 
98,2034.00 DATA,2033.1,2034.00 
99,2032.00 DATA,2033.2,2032.00 
100,2034.00 DATA,2033.3,2034.00 
101,2034.00 DATA,2033.4,2034.00 
102,2034.00 DATA,2033.4,2034.00 
103,2034.00 DATA,2033.4,2034.00 
104,2034.00 DATA,2033.4,2034.00 
105,2034.00 DATA,2033.4,2034.00 
106,2034.00 DATA,2033.4,2034.00 
107,2034.00 DATA,2033.4,2034.00 
108,2032.00 DATA,2033.4,2032.00 
109,2034.00 DATA,2033.3,2034.00 
110,2034.00 DATA,2033.3,2034.00 
111,2034.00 DATA,2033.3,2034.00 
112,2032.00 DATA,2033.2,2032.00 
113,2034.00 DATA,2033.2,2034.00 
114,2034.00 DATA,2033.2,2034.00 
115,2034.00 DATA,2033.3,2034.00 
116,2034.00 DATA,2033.3,2034.00 
117,2032.00 DATA,2033.2,2032.00 
118,2034.00 DATA,2033.1,2034.00 
119,2034.00 DATA,2033.0,2034.00 
120,2034.00 DATA,2032.9,2034.00 
121,2034.00 DATA,2032.7,2034.00 
122,2032.00 DATA,2032.7,2032.00 
123,2032.00 DATA,2032.6,2032.00 
124,2032.00 DATA,2032.6,2032.00 
125,2034.00 DATA,2032.6,2034.00 
126,2034.00 DATA,2032.6,2034.00 
127,2032.00 DATA,2032.8,2032.00 
128,2034.00 DATA,2032.9,2034.00 
129,2034.00 DATA,2033.0,2034.00 
130,2034.00 DATA,2033.1,2034.00 
131,2034.00 DATA,2033.2,2034.00 
132,2034.00 DATA,2033.4,2034.00 
133,2034.00 DATA,2033.5,2034.00 
134,2034.00 DATA,2033.6,2034.00 
135,2034.00 DATA,2033.7,2034.00 
136,2034.00 DATA,2033.7,2034.00 
137,2032.00 DATA,2033.6,2032.00 
138,2034.00 DATA,2033.4,2034.00 
139,2032.00 DATA,2033.2,2032.00 
140,2032.00 DATA,2033.2,2032.00 
141,2034.00 DATA,2033.1,2034.00 
142,2034.00 DATA,2033.1,2034.00 
143,2034.00 DATA,2033.1,2034.00 
144,2034.00 DATA,2033.0,2034.00 
145,2032.00 DATA,2033.0,2032.00 
146,2032.00 DATA,2032.9,2032.00 
147,2034.00 DATA,2032.8,2034.00 
148,2034.00 DATA,2032.7,2034.00 
149,2034.00 DATA,2032.7,2034.00 
150,2034.00 DATA,2032.7,2034.00 
151,2032.00 DATA,2032.7,2032.00 
152,2034.00 DATA,2032.8,2034.00 
153,2034.00 DATA,2032.8,2034.00 
154,2032.00 DATA,2032.8,2032.00 
155,2032.00 DATA,2032.9,2032.00 
156,2034.00 DATA,2032.8,2034.00 
157,2032.00 DATA,2032.8,2032.00 
158,2034.00 DATA,2032.7,2034.00 
159,2032.00 DATA,2032.7,2032.00 
160,2032.00 DATA,2032.6,2032.00 
161,2034.00 DATA,2032.6,2034.00 
162,2034.00 DATA,2032.6,2034.00 
163,2034.00 DATA,2032.6,2034.00 
164,2034.00 DATA,2032.7,2034.00 
165,2034.00 DATA,2032.8,2034.00 
166,2034.00 DATA,2032.8,2034.00 
167,2034.00 DATA,2032.8,2034.00 
